iter	Passed	Remaining
0	0	91
1	1	82
2	2	71
3	3	78
4	4	77
5	4	72
6	5	71
7	6	69
8	6	67
9	7	66
10	7	64
11	8	62
12	8	60
13	9	58
14	9	56
15	10	54
16	10	53
17	11	52
18	12	52
19	12	51
20	13	52
21	14	50
22	15	50
23	15	50
24	16	48
25	16	47
26	17	46
27	17	45
28	18	44
29	18	43
30	19	43
31	20	42
32	20	41
33	21	41
34	21	40
35	22	39
36	22	38
37	23	38
38	24	38
39	25	37
40	25	37
41	26	36
42	27	36
43	27	35
44	28	34
45	28	33
46	29	33
47	30	33
48	31	32
49	32	32
50	33	32
51	34	31
52	35	31
53	35	30
54	39	32
55	40	31
56	41	31
57	42	30
58	42	29
59	43	28
60	43	27
61	44	27
62	44	26
63	45	25
64	46	25
65	48	25
66	49	24
67	49	23
68	50	22
69	51	22
70	52	21
71	54	21
72	55	20
73	55	19
74	56	18
75	57	18
76	58	17
77	59	16
78	59	15
79	60	15
80	61	14
81	61	13
82	62	12
83	62	11
84	63	11
85	63	10
86	64	9
87	64	8
88	65	8
89	65	7
90	66	6
91	67	5
92	67	5
93	68	4
94	69	3
95	69	2
96	70	2
97	70	1
98	71	0
99	72	0
